email,password,full_name,dob,gender,mobile_number,alternate_contact,share_contact,blood_group,last_donation_date,thalassemia_status,donation_count,city,house_number,street,zip_code,latitude,longitude,date_joined
aarush.goda0@example.com,Password123,Aarush Goda,1993-08-31,F,9773700891,,True,A+,2025-02-05,False,8,Indore,147,Rama Street,452062,22.74167835572988,75.8548927758326,2025-04-28 19:31:52
devansh.ganesan1@example.com,Password123,Devansh Ganesan,1981-10-05,M,9163909823,,False,A-,2023-11-16,True,0,Indore,405,Sharaf Chowk,452031,22.737374408475933,75.83023929066832,2025-04-28 19:31:52
saira.roy2@example.com,Password123,Saira Roy,1979-09-03,O,9156647897,,False,B+,2023-10-17,True,8,Indore,200,Bhattacharyya Path,452088,22.69315768155203,75.855142176066,2025-04-28 19:31:52
rania.setty3@example.com,Password123,Rania Setty,1994-08-07,F,9126928918,,False,B-,,False,1,Indore,325,Kakar Nagar,452025,22.720593344983264,75.83576678676165,2025-04-28 19:31:52
aaina.karan4@example.com,Password123,Aaina Karan,1996-01-24,M,9397096096,,True,O+,,False,5,Indore,383,Date Street,452045,22.746072862843295,75.8823194932695,2025-04-28 19:31:52
zara.sarkar5@example.com,Password123,Zara Sarkar,1996-01-05,M,9623958667,,True,O-,,False,10,Indore,424,Sama Ganj,452079,22.703447434802815,75.87930976202945,2025-04-28 19:31:52
jhanvi.chokshi6@example.com,Password123,Jhanvi Chokshi,1992-08-19,O,9361554461,,True,AB+,,True,7,Indore,303,Dhillon Nagar,452019,22.69536213468648,75.84199273959291,2025-04-28 19:31:52
amira.sagar7@example.com,Password123,Amira Sagar,1996-05-02,O,9547382514,8446352646,False,AB-,2024-09-19,False,6,Indore,286,Sen Zila,452039,22.717038620758533,75.86155557381514,2025-04-28 19:31:52
yasmin.venkatesh8@example.com,Password123,Yasmin Venkatesh,1999-08-16,M,9110992111,,False,A+,,True,0,Indore,470,Randhawa Circle,452000,22.6934118690029,75.88071431769865,2025-04-28 19:31:52
nishith.tata9@example.com,Password123,Nishith Tata,1994-09-19,O,9389025562,8690492797,True,A-,,False,9,Indore,50,Ghose Circle,452090,22.697862623392524,75.83784773463655,2025-04-28 19:31:52
